"","player","team","seasons","total_targets","total_catchables","total_rec","total_drops","total_yards","total_yac","total_tds","comp_perc","on_tgt_rate","yards_per_target","yards_per_rec","yards_per_game","broken_tackles","total_first_downs","first_down_perc","drop_rate","rec_rating"
"628","Tavares Martin Jr.","Washington State",2,200,150,131,8,1459,240,14,65.545,88.55,7.305,11.1374045801527,61.25,25,77,58.8,5.35,96.2
"629","Taylor Morin","Wake Forest",1,58,37,32,3,405,29,3,55.17,94.1,6.98,12.65625,45,0,21,65.6,8.1,94.4
"630","Taysir Mack","Pittsburgh",2,165,112,86,11,1041,138,5,50.39,78.45,6.25,12.1046511627907,49.7,1,54,64.95,10.65,71
"631","Tayvion Robinson","Virginia Tech",1,60,43,38,0,592,148,3,63.33,97.1,9.87,15.5789473684211,53.8,2,21,55.3,0,105.7
"632","Taywan Taylor","Western Kentucky",1,140,111,91,9,1584,224,16,65,82,11.31,17.4065934065934,121.8,14,55,60.4,8.1,126.6
"633","Teddy Veal","Louisiana Tech",2,222,169,144,18,1666,407,8,64.915,86.85,7.47,11.5694444444444,66.4,26,81,56,10.5,95
"634","Tee Higgins","Clemson",2,186,145,118,9,2103,345,25,63.475,88.1,11.335,17.8220338983051,70.1,10,92,78,6.2,134.35
"635","Teldrick Morgan","Maryland",1,70,54,43,5,497,88,4,61.43,79.6,7.1,11.5581395348837,41.4,10,26,60.5,9.3,84
"636","Teo Redding","Bowling Green",2,147,98,76,11,1047,206,11,51.31,76.8,7.065,13.7763157894737,46,16,47,63.75,12.4,77.8
"637","Terrace Marshall Jr","LSU",1,67,57,46,2,671,70,13,68.66,84,10.01,14.5869565217391,55.9,4,38,82.6,3.5,140.6
"638","Terrace Marshall Jr.","LSU",1,72,55,48,5,731,112,10,66.67,90.6,10.15,15.2291666666667,104.4,3,34,70.8,9.1,133.7
"639","Terrell Jana","Virginia",2,169,124,110,9,1309,226,4,63.195,91.2,7.505,11.9,52.8,8,67,60.25,7.2,74.7
"640","Terren Encalade","Tulane",2,156,98,78,10,1199,183,11,49.795,79.95,7.615,15.3717948717949,51.6,15,45,57.8,10.35,80.45
"641","Thaddeous Thompson","North Texas",1,81,52,43,6,545,69,2,53.09,82.4,6.73,12.6744186046512,41.9,4,31,72.1,11.5,67.2
"642","Thayer Thomas","NC State",2,131,88,73,6,863,121,9,57.125,87.25,6.805,11.8219178082192,35.95,5,48,65.6,6.9,92.6
"643","Theo Howard","UCLA",2,155,122,107,6,1271,181,8,69.515,90.25,8.36,11.8785046728972,51.05,17,59,55.65,4.65,109.2
"644","Theo Wease","Oklahoma",1,54,46,37,4,530,53,4,68.52,79.1,9.81,14.3243243243243,48.2,1,25,67.6,8.7,117.1
"645","Thomas Hennigan","Appalachian State",3,234,177,153,10,1972,276,16,65.2433333333333,87.5,8.42666666666667,12.8888888888889,50.4666666666667,15,94,61.6,5.16666666666667,107.033333333333
"646","Thomas Owens","FIU",2,182,135,105,9,1499,303,13,58.345,79.15,8.34,14.2761904761905,80.1,31,73,68.95,6.7,93.6
"647","Thomas Sperbeck","Boise State",1,127,98,80,13,1272,196,9,62.99,85.1,10.02,15.9,97.8,14,60,75,13.3,116.7
"648","Tim Crawley","San Jose State",1,77,62,53,4,632,79,3,68.83,88.1,8.21,11.9245283018868,57.5,7,35,66,6.5,90.4
"649","Tim Jones","Southern Mississippi",1,105,83,73,8,902,186,3,69.52,92.1,8.59,12.3561643835616,69.4,13,42,57.5,9.6,89.5
"650","Tim Patrick","Utah",1,88,66,45,6,711,83,5,51.14,72.6,8.08,15.8,71.1,6,36,80,9.1,83.1
"651","Tim White","Arizona State",1,88,67,56,7,713,182,2,63.64,87.5,8.1,12.7321428571429,71.3,13,32,57.1,10.4,77.5
"652","Timmy Hernandez","Oregon State",1,92,67,58,2,657,54,3,63.04,91.7,7.14,11.3275862068966,54.8,2,32,55.2,3,81.7
"653","TJ Chase","Florida Atlantic",1,46,29,23,3,334,31,2,50,84.6,7.26,14.5217391304348,37.1,0,17,73.9,10.3,79.4
"654","TJ Vasher","Texas Tech",2,164,113,97,5,1211,107,13,59.145,89.25,7.385,12.4845360824742,57.45,3,70,71.45,4.15,90.75
"655","Tommy Sweeney","Boston College",1,68,43,36,5,512,126,4,52.94,85.4,7.53,14.2222222222222,39.4,7,25,69.4,11.6,91.1
"656","Tony Brown","Colorado",1,75,64,56,3,707,98,5,74.67,90,9.43,12.625,58.9,2,33,58.9,4.7,109.1
"657","Tony Gaiter IV","FIU",1,84,56,50,5,623,95,4,59.52,91.8,7.42,12.46,47.9,9,35,70,8.9,98.5
"658","Tony Nicholson","New Mexico State",1,95,72,61,7,647,98,6,64.21,90.9,6.81,10.6065573770492,53.9,2,30,49.2,9.7,74.3
"659","Tony Poljan","Virginia",1,60,45,38,3,411,63,6,63.33,87.5,6.85,10.8157894736842,41.1,1,24,63.2,6.7,116.7
"660","Tra'Von Chapman","Akron",1,79,60,53,5,469,82,2,67.09,89.8,5.94,8.84905660377358,33.5,8,27,50.9,8.3,85.9
"661","Travis Etienne","Clemson",1,61,51,48,3,588,236,2,78.69,94,9.64,12.25,49,4,29,60.4,5.9,117.8
"662","Travis Fulgham","Old Dominion",2,180,112,93,8,1477,140,10,50.185,81.3,7.73,15.8817204301075,61.55,8,68,69.7,8.2,70.4
"663","Travis Rudolph","Florida State",1,99,64,56,6,840,121,7,56.57,85.9,8.48,15,64.6,16,38,67.9,9.4,99.7
"664","Tre Hartley","San Jose State",1,81,50,37,7,527,54,2,45.68,74,6.51,14.2432432432432,43.9,1,19,51.4,14,44.6
"665","Tre Nixon","UCF",2,172,107,89,10,1392,110,11,51.66,87.3,8.015,15.6404494382022,53.5,3,43,48.45,9.1,92.8
"666","Tre Turner","Virginia Tech",1,48,37,34,1,529,46,3,70.83,93.5,11.02,15.5588235294118,52.9,2,26,76.5,2.7,127.9
"667","Tre Walker","San Jose State",2,191,148,124,13,1786,331,6,64.295,87,9.2,14.4032258064516,97.1,14,82,65.3,9.2,104.2
"668","Tre'quan Smith","UCF",2,190,146,115,9,2018,323,18,61.37,81.65,10.925,17.5478260869565,80.35,35,76,65.8,6.15,118.9
"669","Trent Cowan","Idaho",1,70,55,47,5,533,57,6,67.14,85.5,7.61,11.3404255319149,44.4,4,36,76.6,9.1,118.3
"670","Trent Sherfield","Vanderbilt",1,74,58,50,6,729,95,5,67.57,90.9,9.85,14.58,60.8,5,39,78,10.3,105.1
"671","Trent Taylor","Louisiana Tech",1,165,144,132,4,1787,379,11,80,91.7,10.83,13.5378787878788,137.5,19,79,59.8,2.8,129
"672","Trenton Irwin","Stanford",2,159,120,103,3,1146,168,4,64.505,88.7,7.17,11.126213592233,45,9,54,51.9,2.65,80.9
"673","Trevon Bradford","Oregon State",1,88,62,56,0,649,103,6,63.64,93.2,7.38,11.5892857142857,59,3,34,60.7,0,108.6
"674","Trevon Brown","East Carolina",2,273,175,134,11,2191,363,16,50.595,79.1,8.43,16.3507462686567,91.3,20,97,72.65,6.2,90
"675","Trevon Grimes","Florida",1,60,50,38,2,589,88,9,63.33,80.4,9.82,15.5,53.5,5,28,73.7,4,135.3
"676","Trey Quinn","SMU",1,160,120,114,2,1236,273,13,71.25,95,7.72,10.8421052631579,95.1,19,64,56.1,1.7,110.3
"677","Treylon Burks","Arkansas",1,68,58,51,4,820,176,7,75,87.9,12.06,16.078431372549,91.1,6,34,66.7,6.9,149.1
"678","Trishton Jackson","Syracuse",1,107,74,66,2,1023,194,11,61.68,90.3,9.56,15.5,85.3,8,44,66.7,2.7,123.7
"679","Troy Fumagalli","Wisconsin",1,76,54,46,3,547,49,4,60.53,85.2,7.2,11.8913043478261,45.6,2,29,63,5.6,72.6
"680","Tutu Atwell","Louisville",2,177,133,116,10,1901,285,19,65.415,92.95,10.42,16.3879310344828,83.8,3,79,66.9,7.2,113.75
"681","Ty Fryfogle","Indiana",1,70,50,37,3,713,110,7,52.86,78.7,10.19,19.2702702702703,89.1,4,27,73,6,110
"682","Ty Lee","Middle Tennessee",4,383,297,257,23,3032,614,24,66.915,88.45,7.86,11.7976653696498,59,36,139,53.85,7.825,101.85
"683","Tylan Wallace","Oklahoma State",3,328,238,198,12,3291,576,26,61.04,87.6,10.06,16.6212121212121,108.966666666667,23,146,72.1333333333333,4.33333333333333,108.4
"684","Tyler Conklin","Central Michigan",2,149,95,77,8,1064,137,11,51.58,81.55,7.145,13.8181818181818,53.05,7,54,70,8.55,76.6
"685","Tyler Johnson","Minnesota",3,325,242,199,24,3164,517,32,59.7133333333333,82.9666666666667,9.75333333333333,15.8994974874372,86.3333333333333,17,148,76.1,10.9333333333333,114
"686","Tyler Page","SMU",1,52,45,39,4,422,138,2,75,90.5,8.12,10.8205128205128,42.2,6,17,43.6,8.9,111.2
"687","Tyler Snead","East Carolina",2,169,128,119,5,1283,230,10,70.545,94.8,7.535,10.781512605042,60.75,11,62,51.8,3.85,100.75
"688","Tyler Vaughns","USC",4,335,259,222,15,2802,452,20,66.815,87.775,8.4875,12.6216216216216,64.075,19,144,64.8,5.9,101.4
"689","Tyquan Thornton","Baylor",1,71,54,45,4,782,132,5,63.38,85.1,11.01,17.3777777777778,55.9,1,27,60,7.4,118.4
"690","Tyre Brady","Marshall",2,246,166,132,12,1939,317,17,54.695,83.85,8.08,14.6893939393939,81.15,15,82,61.8,7.2,92.9
"691","Tyre McCants","South Florida",1,90,72,59,7,622,201,3,65.56,88.1,6.91,10.5423728813559,47.8,16,25,42.4,9.7,96.6
"692","Tyrice Richie","Northern Illinois",1,71,59,53,5,597,101,4,74.65,89.1,8.41,11.2641509433962,99.5,4,31,58.5,8.5,118.1
"693","Tyron Johnson","Oklahoma State",1,95,64,53,3,845,99,7,55.79,86.9,8.89,15.9433962264151,65,4,40,75.5,4.7,101.4
"694","Tyrone Scott","Central Michigan",1,74,47,37,6,650,64,5,50,80.6,8.78,17.5675675675676,46.4,3,29,78.4,12.8,97.2
"695","Van Jefferson","Florida",1,70,54,49,3,657,58,6,70,91.8,9.39,13.4081632653061,50.5,0,32,65.3,5.6,116.2
"696","Van Jefferson","Ole Miss",1,76,56,49,4,543,83,3,64.47,87.5,7.14,11.0816326530612,45.3,7,32,65.3,7.1,93.3
"697","Ventell Bryant","Temple",2,182,128,105,9,1585,186,7,57.685,85.85,8.7,15.0952380952381,67.25,16,68,64.5,6.8,85.4
"698","Vic Wharton III","California",2,191,136,116,8,1366,159,6,60.98,89.3,7.03,11.7758620689655,56.9,9,61,51.8,5.35,77.6
