"","player","team","seasons","total_targets","total_catchables","total_rec","total_drops","total_yards","total_yac","total_tds","comp_perc","on_tgt_rate","yards_per_target","yards_per_rec","yards_per_game","broken_tackles","total_first_downs","first_down_perc","drop_rate","rec_rating"
"1","A.J. Brown","Ole Miss",2,220,183,160,12,2572,675,17,72.915,88.8,11.76,16.075,107.15,31,91,57,6.75,127
"2","A.J. Richardson","Boise State",1,78,57,54,1,825,142,8,69.23,94.7,10.58,15.2777777777778,58.9,4,35,64.8,1.8,132.7
"3","Aaron Cephus","Rice",1,78,46,40,3,565,54,5,51.28,90.9,7.24,14.125,47.1,4,31,77.5,6.5,69.7
"4","Aaron Fuller","Washington",2,197,148,117,16,1576,208,10,59.685,80.65,7.975,13.4700854700855,60.45,7,75,64.15,10.85,89.55
"5","Aaron Peck","Fresno State",1,75,50,43,6,592,164,3,57.33,86,7.89,13.7674418604651,59.2,15,20,46.5,12,79.4
"6","Adam Breneman","UMASS",2,195,150,126,3,1436,167,10,64.625,84.6,7.37,11.3968253968254,65.3,4,77,61.15,2,88.75
"7","Adonis Jennings","Temple",1,78,57,42,5,742,90,7,53.85,77.4,9.51,17.6666666666667,57.1,4,24,57.1,8.8,100.5
"8","Adrian Hardy","Louisiana Tech",3,267,191,150,15,2119,483,11,55.6633333333333,85.3666666666667,7.68666666666667,14.1266666666667,68.1333333333333,21,106,69.9,6.96666666666667,81.2666666666667
"9","Ahmmon Richards","Miami FL",1,77,60,49,4,934,257,3,63.64,81.7,12.13,19.0612244897959,71.8,20,38,77.6,6.7,113.2
"10","Ainias Smith","Texas A&M",1,66,52,43,2,564,138,6,65.15,89.4,8.55,13.1162790697674,56.4,6,24,55.8,3.8,116
"11","AJ Coney","Akron",1,72,53,43,3,551,113,3,59.72,80.8,7.65,12.8139534883721,39.4,11,32,74.4,5.7,80.3
"12","Al Riles","Louisiana Lafayette",1,78,65,60,1,731,251,2,76.92,93.7,9.37,12.1833333333333,56.2,11,30,50,1.5,108.4
"13","Alevo Hifo","BYU",1,67,50,42,2,478,100,3,62.69,90.9,7.13,11.3809523809524,36.8,6,23,54.8,4,67.9
"14","Alfonso Onunwor","Idaho",1,113,80,64,6,860,183,8,56.64,81,7.61,13.4375,78.2,10,37,57.8,7.5,89.8
"15","Allen Lazard","Iowa State",2,253,184,140,21,1959,199,17,55.38,78.4,7.76,13.9928571428571,78.6,12,108,77.2,11.4,96.15
"16","Allenzae Staggers","Southern Mississippi",2,169,119,106,4,1636,210,12,62.385,92.1,9.53,15.4339622641509,66.6,10,64,59.2,3.15,103.95
"17","Amara Darboh","Michigan",1,102,68,57,4,862,118,7,55.88,83.8,8.45,15.1228070175439,66.3,6,37,64.9,5.9,102.7
"18","Amari Rodgers","Clemson",2,171,149,131,9,1590,407,11,76.53,89.6,9.115,12.1374045801527,61.5,17,63,46.95,6.15,117.8
"19","Amba Etta-Tawo","Syracuse",1,142,115,93,7,1483,341,14,65.49,84.4,10.44,15.9462365591398,123.6,20,56,60.2,6.1,115.4
"20","Ammon Barker","Hawaii",1,75,48,39,4,398,56,1,52,83,5.31,10.2051282051282,33.2,8,23,59,8.3,60.9
"21","Amon-Ra St. Brown","USC",3,254,203,178,10,2270,316,16,70,90.7333333333333,8.8,12.752808988764,74.1333333333333,14,106,60.9333333333333,4.8,103.6
"22","Andre Baccellia","Washington",1,70,58,55,0,584,103,0,78.57,100,8.34,10.6181818181818,41.7,4,30,54.5,0,89.5
"23","Andre Levrone","Virginia",1,76,46,34,9,689,36,7,44.74,75.6,9.07,20.2647058823529,53,2,23,67.6,19.6,102.4
"24","Andre Williams","Akron",1,89,59,46,5,649,44,6,51.69,83.6,7.29,14.1086956521739,59,2,31,67.4,8.5,79.3
"25","Andre Wilson","UAB",1,84,66,54,9,677,109,6,64.29,80,8.06,12.537037037037,52.1,19,34,63,13.6,103.1
"26","Andrew Meyer","Ohio",1,67,43,35,2,483,39,2,52.24,81,7.21,13.8,40.3,2,23,65.7,4.7,79.4
"27","Andrew Parchment","Kansas",2,165,108,89,11,1026,117,9,52.04,83.4,5.565,11.5280898876404,46.85,1,46,48.55,10.65,68.1
"28","Andy Isabella","UMASS",3,347,258,221,18,3396,525,29,62.8833333333333,86.3666666666667,9.45666666666667,15.3665158371041,96.0333333333333,25,139,62.0666666666667,6.66666666666667,113.866666666667
"29","Anthony Johnson","Buffalo",2,227,163,134,12,2374,448,25,58.925,86.05,10.445,17.7164179104478,95.7,33,94,69.7,7.15,116
"30","Anthony Miller","Memphis",2,286,227,191,20,2896,462,32,66.975,84.85,10.15,15.1623036649215,111.4,28,121,63.35,8.8,133
"31","Anthony Queeley","Syracuse",1,67,43,37,4,378,55,2,55.22,90,5.64,10.2162162162162,34.4,3,21,56.8,9.3,81.6
"32","Anthony Ratliff-Williams","North Carolina",2,154,102,77,10,1324,142,8,50.155,79.3,8.665,17.1948051948052,57.8,14,54,70.5,9.95,81.5
"33","Anthony Schwartz","Auburn",1,87,63,54,8,636,76,3,62.07,88.3,7.31,11.7777777777778,63.6,3,29,53.7,12.7,81.4
"34","Antoine Porter","Eastern Michigan",1,76,64,46,9,548,85,4,60.53,73,7.21,11.9130434782609,45.7,6,29,63,14.1,83.7
"35","Antoine Wesley","Texas Tech",1,125,99,88,4,1404,321,9,70.4,90.6,11.23,15.9545454545455,117,8,55,62.5,4,128.2
"36","Antonio Callaway","Florida",1,87,66,54,7,721,197,3,62.07,83.1,8.29,13.3518518518519,60.1,13,32,59.3,10.6,80.7
"37","Antonio Gandy-Golden","Liberty",2,269,175,149,12,2420,459,20,55.325,88.45,8.945,16.241610738255,100.15,30,112,75,6.85,99.2
"38","Antonio Nunn","Buffalo",2,146,106,85,9,1260,203,8,59.7,85.85,8.97,14.8235294117647,69.85,6,55,63.8,7.9,96.5
"39","Antwan Davis","Ball State",1,61,47,39,3,461,78,1,63.93,85.4,7.56,11.8205128205128,57.6,4,26,66.7,6.4,78.7
"40","Antwan Dixon","Kent State",1,79,61,52,6,525,100,2,65.82,86.7,6.65,10.0961538461538,43.8,5,24,46.2,9.8,93.1
"41","Ardarius Stewart","Alabama",1,82,61,54,4,864,205,8,65.85,90,10.54,16,72,21,29,53.7,6.6,108
"42","Arik Gilbert","LSU",1,55,44,35,2,368,81,2,63.64,89.5,6.69,10.5142857142857,46,7,24,68.6,4.5,80
"43","Aron Cruickshank","Rutgers",1,58,46,37,3,236,35,1,63.79,88.9,4.07,6.37837837837838,26.2,1,12,32.4,6.5,63.6
"44","Artavis Scott","Clemson",1,97,87,76,6,613,189,5,78.35,90.5,6.32,8.06578947368421,40.9,14,35,46.1,6.9,110.2
"45","Arthur Jackson III","Eastern Michigan",1,67,54,47,5,740,79,7,70.15,88.7,11.04,15.7446808510638,56.9,1,33,70.2,9.3,135.2
"46","Auden Tate","Florida State",1,67,45,40,1,548,74,10,59.7,90.9,8.18,13.7,45.7,6,27,67.5,2.2,100.6
"47","Austin Carr","Northwestern",1,133,101,90,3,1247,180,12,67.67,91.8,9.38,13.8555555555556,95.9,12,63,70,3,121.4
"48","Austin Conway","Wyoming",1,87,70,62,1,553,96,3,71.26,88.6,6.36,8.91935483870968,42.5,16,25,40.3,1.4,94.7
"49","Austin Duke","Charlotte",1,95,73,59,5,803,198,4,62.11,81.9,8.45,13.6101694915254,66.9,6,31,52.5,6.8,98.7
"50","Austin Proehl","North Carolina",1,77,56,43,4,598,56,3,55.84,78.2,7.77,13.906976744186,46,7,30,69.8,7.1,88.6
"51","Austin Trammell","Rice",2,218,145,122,13,1358,253,7,55.965,88.05,6.23,11.1311475409836,54.55,11,71,58.35,8.95,72
"52","Austin Walter","Rice",1,69,51,44,4,525,164,2,63.77,85.7,7.61,11.9318181818182,40.4,5,26,59.1,7.8,78.5
"53","Austin Watkins Jr.","UAB",2,150,101,91,2,1560,144,9,60.91,91.05,10,17.1428571428571,72.45,7,69,74.75,1.6,95.6
"54","Austin Williams","Mississippi State",1,53,47,43,0,372,67,3,81.13,95.2,7.02,8.65116279069767,33.8,4,19,44.2,0,106.9
"55","Austin Wolf","Akron",1,74,43,36,3,550,45,5,48.65,83.7,7.43,15.2777777777778,45.8,3,24,66.7,7,90.5
"56","B.J. Farrow","Liberty",1,85,56,40,7,546,71,5,47.06,74.1,6.42,13.65,49.6,3,26,65,12.5,73
"57","Bailey Gaither","San Jose State",2,160,116,93,10,1537,116,10,60.165,81.9,10.1,16.5268817204301,85.65,1,55,58.8,8.25,107.8
"58","Beau Corrales","North Carolina",1,68,50,40,5,575,138,6,58.82,81.6,8.46,14.375,44.2,9,29,72.5,10,103.5
"59","Bennett Skowronek","Northwestern",2,155,114,90,7,1206,126,8,58.065,83.3,7.78,13.4,44.8,4,52,57.8,6.3,83.85
"60","Bilal Marshall","Purdue",1,76,53,39,9,470,39,3,51.32,75,6.18,12.0512820512821,39.2,3,19,48.7,17,78.3
"61","Billy Kemp IV","Virginia",1,98,74,67,2,644,137,1,68.37,98.5,6.57,9.61194029850746,64.4,5,34,50.7,2.7,64.3
"62","BJ Johnson III","Georgia Southern",1,75,51,41,3,575,96,3,54.67,80,7.67,14.0243902439024,47.9,7,31,75.6,5.9,70.7
"63","Blake Banham","Eastern Michigan",1,87,71,60,6,758,187,5,68.97,87.9,8.71,12.6333333333333,58.3,8,33,55,8.5,105.4
"64","Blake Mack","Arkansas State",1,68,54,48,1,618,113,7,70.59,90.6,9.09,12.875,51.5,12,32,66.7,1.9,114.7
"65","Blake Proehl","East Carolina",2,151,111,100,3,1235,162,8,66.78,93.1,8.24,12.35,59.45,1,60,59.6,2.75,101.25
"66","Bo Melton","Rutgers",1,79,56,47,4,642,112,6,59.49,95.9,8.13,13.6595744680851,71.3,9,28,59.6,7.1,95
"67","Boyd Devonte","UNLV",2,155,107,79,14,1358,110,7,50.73,74.3,8.75,17.1898734177215,65.1,13,56,71.2,13.05,85
"68","Brad Rozner","Rice",1,98,69,55,8,770,134,5,56.12,82.8,7.86,14,64.2,8,37,67.3,11.6,90.1
"69","Branden Mack","Temple",3,245,152,129,16,1796,414,15,52.2833333333333,88.7,7.06,13.922480620155,52.4333333333333,15,87,66.7666666666667,10.8333333333333,70.8
"70","Brandon Aiyuk","Arizona State",1,104,72,65,5,1192,267,8,62.5,93.5,11.46,18.3384615384615,99.3,7,40,61.5,6.9,127.6
"71","Brandon Arconado","Washington State",1,106,84,78,5,1109,119,7,73.58,96.2,10.46,14.2179487179487,100.8,5,60,76.9,6,113.3
"72","Brandon Bowling","Arkansas State",1,68,47,39,3,512,38,7,57.35,90.5,7.53,13.1282051282051,46.5,1,23,59,6.4,103.3
"73","Brandon Powell","Florida",2,144,106,87,5,793,158,5,60.455,82.85,5.505,9.11494252873563,33.35,12,45,51.95,4.75,75.3
"74","Brandon Presley","UNLV",1,79,44,35,4,434,41,3,44.3,82.5,5.49,12.4,36.2,2,19,54.3,9.1,58.7
"75","Braxton Berrios","Miami FL",1,85,64,55,1,679,73,9,64.71,87.3,7.99,12.3454545454545,52.2,7,35,63.6,1.6,119.7
"76","Brennan Eagles","Texas",1,51,35,28,3,469,53,5,54.9,82.4,9.2,16.75,52.1,2,22,78.6,8.6,118.8
"77","Brevin Jordan","Miami FL",1,53,44,38,2,576,159,7,71.7,90,10.87,15.1578947368421,72,4,27,71.1,4.5,146.7
"78","Brian Williams","Louisiana-Monroe",1,71,50,45,3,627,163,4,63.38,90,8.83,13.9333333333333,52.3,7,28,62.2,6,98.7
"79","Britain Covey","Utah",1,84,72,61,5,612,245,1,72.62,88.7,7.29,10.0327868852459,47.1,14,28,45.9,6.9,96.9
"80","Bryan Edwards","South Carolina",4,392,288,234,23,3045,631,22,59.2925,84.575,7.7775,13.0128205128205,64.225,56,134,58.075,8.225,94.225
"81","Bryce Bobo","Colorado",2,172,131,106,12,1242,242,7,61.365,81.95,7.245,11.7169811320755,50,37,59,55.8,9.3,83.75
"82","Bryce Ford-Wheaton","West Virginia",1,56,41,27,8,416,78,3,48.21,69.4,7.43,15.4074074074074,41.6,5,18,66.7,19.5,83.6
"83","Brycen Hopkins","Purdue",1,92,77,61,9,830,125,7,66.3,84.3,9.02,13.6065573770492,69.2,4,39,63.9,11.7,111.2
"84","Bucky Hodges","Virginia Tech",1,82,60,48,6,691,69,7,58.54,79.7,8.43,14.3958333333333,49.4,5,37,77.1,10,109.3
"85","Bug Howard","North Carolina",1,82,63,53,3,827,57,8,64.63,85.5,10.09,15.6037735849057,68.9,8,37,69.8,4.8,130.5
"86","Byron Pringle","Kansas State",1,83,55,39,5,631,87,4,46.99,73.1,7.6,16.1794871794872,48.5,5,27,69.2,9.1,84
"87","C.J Duncan","Vanderbilt",2,151,119,96,11,1011,177,5,63.495,82,6.695,10.53125,40.55,17,58,60.85,8.95,88.1
"88","C.J. Johnson","East Carolina",2,147,99,74,13,1327,241,10,47.45,75.25,8.84,17.9324324324324,60.9,11,58,82,16.25,98.65
"89","Caleb Wilson","UCLA",1,97,75,60,8,965,186,4,61.86,85.5,9.95,16.0833333333333,80.4,5,42,70,10.7,95.9
"90","Calvin Austin III","Memphis",1,119,81,63,7,1053,230,11,52.94,84.5,8.85,16.7142857142857,95.7,7,45,71.4,8.6,103.4
"91","Calvin Ridley","Alabama",2,215,165,135,17,1743,194,12,62.855,83.75,8.23,12.9111111111111,60.4,17,80,59.65,10.3,101.2
"92","Cam Johnson","Vanderbilt",1,70,58,56,1,545,121,3,80,96.6,7.79,9.73214285714286,60.6,4,27,48.2,1.7,89.6
"93","Cam Phillips","Virginia Tech",2,210,169,147,8,1947,335,12,70.47,89.65,9.32,13.2448979591837,75.25,23,90,61.35,4.7,110.6
"94","Cameron Batson","Texas Tech",2,155,131,120,4,1137,187,13,77.715,91.6,7.295,9.475,45.85,18,55,45.7,3.1,112.6
"95","Cameron Dollar","Charlotte",1,70,47,41,6,599,92,2,58.57,90.2,8.56,14.609756097561,46.1,7,25,61,12.8,66.3
"96","Cameron Green","Northwestern",1,82,66,57,2,488,79,4,69.51,90,5.95,8.56140350877193,34.9,2,28,49.1,3,96
"97","Cameron Posey","Purdue",1,69,45,39,1,356,96,3,56.52,86.7,5.16,9.12820512820513,29.7,6,20,51.3,2.2,55
"98","Cameron Ross","UCONN",1,94,66,60,5,723,140,4,63.83,93.4,7.69,12.05,65.7,2,31,51.7,7.6,92.6
"99","Carlos Henderson","Louisiana Tech",1,137,102,80,8,1524,473,18,58.39,79.8,11.12,19.05,127,46,62,77.5,7.8,115.4
"100","Carlos Strickland II","UTSA",1,67,54,38,5,492,35,4,56.72,74.5,7.34,12.9473684210526,41,0,24,63.2,9.3,99.8
"101","Carrington Thompson","Western Michigan",1,74,50,42,7,637,77,6,56.76,84,8.61,15.1666666666667,45.5,5,33,78.6,14,106.6
"102","Cedric Byrd II","Hawaii",2,273,210,178,13,2071,155,19,65.41,90.15,7.66,11.6348314606742,71.35,11,98,55.65,5.95,95.5
"103","Cedrick Wilson","Boise State",2,236,166,139,10,2636,446,18,58.575,87.85,11.2,18.9640287769784,100.85,27,102,73.95,5.8,114.65
"104","Cee Jay Powell","Louisiana Tech",1,51,41,38,2,280,84,0,74.51,94.9,5.49,7.36842105263158,28,5,16,42.1,4.9,78.9
"105","CeeDee Lamb","Oklahoma",3,254,203,173,12,3292,699,32,68.07,89.4,12.8633333333333,19.028901734104,80.8,24,130,75.6,5.9,141.2
"106","Chad Hansen","California",1,144,108,92,3,1249,148,11,63.89,88.5,8.67,13.5760869565217,124.9,7,53,57.6,2.8,114
"107","Chance Allen","Houston",1,98,69,56,3,815,99,6,57.14,86.2,8.32,14.5535714285714,67.9,4,44,78.6,4.3,87.8
"108","Charles Nelson","Oregon",1,81,60,52,4,554,66,5,64.2,88.1,6.84,10.6538461538462,46.2,9,26,50,6.7,99.5
"109","Charlie Kolar","Iowa State",2,151,113,95,8,1288,134,14,62.985,87.5,8.535,13.5578947368421,53.65,4,74,78,7.1,107.6
